Sample,X position (mm),Y position (mm),Process state
60,0.679,0.309,Nests aligned
61,0.964,0.340,Nests aligned
62,0.701,0.251,Nests aligned
63,0.806,0.302,Nests aligned
64,0.690,0.501,Nests aligned
65,0.875,0.312,Nests aligned
66,0.809,0.378,Nests aligned
67,0.799,0.303,Nests aligned
68,0.990,0.162,Nests aligned
69,0.933,0.247,Nests aligned
70,0.971,0.337,Nests aligned
71,0.575,0.176,Nests aligned
72,0.903,0.253,Nests aligned
73,0.754,0.166,Nests aligned
74,0.785,0.110,Nests aligned
75,0.791,0.269,Nests aligned
76,0.743,0.112,Nests aligned
77,0.732,0.307,Nests aligned
78,0.767,0.168,Nests aligned
79,0.760,0.238,Nests aligned
80,0.688,0.412,Nests aligned
81,0.714,0.441,Nests aligned
82,0.844,0.165,Nests aligned
83,0.886,0.262,Nests aligned
84,0.678,0.162,Nests aligned
85,0.631,0.310,Nests aligned
86,0.846,0.391,Nests aligned
87,0.638,0.343,Nests aligned
88,0.602,0.293,Nests aligned
89,0.888,0.338,Nests aligned
90,0.709,0.065,Nests aligned
91,0.738,0.240,Nests aligned
92,0.715,0.597,Nests aligned
93,0.783,0.381,Nests aligned
94,0.831,0.107,Nests aligned
95,0.785,0.072,Nests aligned
